Date,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2012-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-26,0.0,0.9999999981938636,3.687608177778625e-12,1.6119264244093428e-11,5.773458902961079e-10,5.524307068820097e-10,1.0694062256329329e-10,4.840912838483288e-12,3.687608177778625e-12,2.5349218272450196e-12,1.3337484972820527e-11,5.25211296585342e-10
2012-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2012-01-30,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-31,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2012-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2012-02-02,0.0,0.9999999680187571,1.781347239400658e-09,1.6801109375995994e-09,4.7471376819459645e-09,3.0899438817061242e-09,1.0549068730556723e-08,1.7217963718005205e-09,1.781347239400658e-09,1.6008059459958111e-09,2.1742630549309118e-09,2.8554219277609612e-09
2012-02-03,0.0,7.420318975462223e-08,2.0595375536076727e-09,2.0215457898755465e-09,2.963057980124462e-09,2.5144652146955924e-09,0.9999999062022278,2.122134332196326e-09,2.0595375536076727e-09,1.923315863964376e-09,1.688205863188488e-09,2.242782484463562e-09
2012-02-06,0.0,4.09027382536957e-09,1.4889152963778946e-09,1.163277637838628e-09,0.9999991953038543,4.8683723325279906e-09,7.809832569600471e-07,1.7018932530678053e-09,1.4889152963778946e-09,1.5136295352134386e-09,1.5478785235507922e-09,5.8497329660020144e-09
2012-02-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-08,0.0,2.9805225528423096e-09,1.4823597967515182e-09,1.0571352976083812e-08,0.9999999577075869,3.3869412470709264e-09,1.3273345017701832e-08,1.6110870569747348e-09,1.4823597967515182e-09,1.51781370356241e-09,1.7821838681212578e-09,4.204447489477755e-09
2012-02-09,0.0,2.8377290425153803e-09,1.683023709898889e-09,4.317928516537035e-09,0.99999996460551,3.5741502861455674e-09,1.2431596800047072e-08,1.8030333180884115e-09,1.683023709898889e-09,1.7818494212128493e-09,1.8943068979001715e-09,3.387847909394732e-09
2012-02-10,0.0,3.5768588841567397e-09,1.950929347056542e-09,1.894899161745759e-09,1.4052918498053799e-08,3.285792898597202e-09,0.9999999635587319,2.184420164893576e-09,1.950929347056542e-09,2.2922233354828835e-09,2.0640934355611603e-09,3.188203115008146e-09
2012-02-13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-14,0.0,6.054405014556616e-12,3.705510319376162e-12,7.1758521676205614e-12,8.298572361575195e-11,1.1788929151184334e-10,0.9999999996139579,4.2321401436462786e-12,3.705510319376162e-12,3.737477889194906e-12,4.111355477751481e-12,1.524447425662273e-10
2012-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2012-02-16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-17,0.0,1.8016316776999945e-10,9.24754369751159e-11,1.5885442057197683e-09,2.478468553139769e-10,2.7339700984831526e-10,0.9999999965981361,2.255802576027491e-10,9.24754369751159e-11,5.050217115987178e-11,1.8310479667148164e-10,4.677743615119755e-10
2012-02-21,0.0,5.2758308967012574e-11,4.0315345157553774e-11,1.8737876246632875e-09,3.0145153936289144e-10,2.608374391449815e-10,0.9999999958389307,6.561985143103332e-10,4.0315345157553774e-11,9.86446130557248e-11,1.2496566150774965e-10,7.117948568352051e-10
2012-02-22,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-23,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-24,0.0,7.184966947113002e-11,8.38784773303359e-11,0.9999999974659537,4.9719155053409075e-11,2.1430062619507487e-10,1.27229962969172e-09,2.0909934982086492e-10,8.38784773303359e-11,9.650663533787712e-11,6.822587543672268e-11,3.8428838695704974e-10
2012-02-27,0.0,5.6936972278983777e-11,3.23523650804978e-11,0.9999999947038848,1.5304600252308987e-11,1.7969607973370755e-10,4.49477147314716e-09,9.118612654844242e-11,3.23523650804978e-11,5.2301254788360176e-11,3.800633059665876e-11,3.032075082829157e-10
2012-02-28,0.0,1.0191240983184824e-11,1.5590587884321953e-12,0.9999999772229686,2.0094090069370065e-11,3.160419482242775e-11,2.2561042583160406e-08,4.407254481176458e-11,1.5590587884321953e-12,5.8387408690312056e-12,1.1941871689827282e-11,8.912805774420715e-11
